metric	kw_chi2	kw_df	kw_pval
sLeX_reachability	10606.8566355562	53	0
GM3_reach	10405.277526849	53	0
GM2_reach	10835.9980909064	53	0
GM1_reach	11366.6210258309	53	0
GD3_reach	9785.99933863788	53	0
Ng_complex	12374.3684024185	53	0
Ng_branch	12144.3908974391	53	0
Ng_bisect	12495.8021372692	53	0
Ng_coreFuc	12581.1772404583	53	0
Ng_sia	12003.3778040146	53	0
OGN_Tn	12105.4072068986	53	0
OGN_Core1	11637.9256787724	53	0
OGN_Core2	11806.6256663362	53	0
OGN_sia	11353.8976599016	53	0
HS_poly	14485.9592623125	53	0
PAPS	13112.5076437963	53	0
HS_N	10990.7430258108	53	0
HS_2O	10407.006463224	53	0
HS_6O	11560.5572396034	53	0
HS_3O	13125.1306126405	53	0
reach_FGF_like	13387.4331488454	53	0
reach_WNT_like	13035.8733496075	53	0
reach_SHH_like	12752.5443196387	53	0
