tissue	PC1	PC2	PC3	system
Adipose - Subcutaneous	-3.94278584136609	-0.347152963061094	2.66666412113114	Adipose
Muscle - Skeletal	8.57953466316742	-5.78919520473813	3.57210926853374	Muscle
Artery - Tibial	-3.28391575370543	-0.452040722749941	4.4929926278755	Vascular
Artery - Coronary	-5.14809379054762	-0.00741306772387661	3.72534857756357	Vascular
Heart - Atrial Appendage	5.09079128754539	-4.72638171644436	2.06756143446747	Heart
Adipose - Visceral (Omentum)	-3.7752628944962	-1.05770024690652	2.16104946107546	Adipose
Uterus	-5.29151685274673	2.41321919076532	2.05064827091352	Reproductive
Vagina	-5.56544483530201	-0.845178758656061	-2.95866495418411	Reproductive
Breast - Mammary Tissue	-4.16081742992778	-0.414379165886201	0.93084438578528	Reproductive
Skin - Not Sun Exposed (Suprapubic)	-2.05364719014557	-2.38560199133546	-2.65810710836726	Skin/Fibro
Minor Salivary Gland	-6.68019146823812	-1.69648602052453	-6.41775048052053	Other
Brain - Cortex	7.23453636709427	4.86694401937416	-0.0603817482311748	Brain
Adrenal Gland	-4.06312727012658	0.214348171223885	2.11830744258355	Endocrine
Thyroid	-6.29296476692498	1.19655040747584	1.11356957616208	Endocrine
Lung	-6.44070088781092	0.772482032733822	0.408646308773044	Lung
Spleen	-4.92780468179297	0.598851139683292	-0.449252588472413	Blood/Immune
Pancreas	3.64028743185089	-5.58712191545817	-2.05466033243708	GI/Digestive
Esophagus - Muscularis	-1.14868632372349	-0.643348046904489	2.92643609067817	GI/Digestive
Esophagus - Mucosa	-4.82684505745819	-3.79084335016943	-7.36657697495692	GI/Digestive
Esophagus - Gastroesophageal Junction	-1.51698241806435	-0.492563430607038	2.90711591886178	GI/Digestive
Stomach	-2.04531478909186	-2.22354601253436	-3.56504443737695	GI/Digestive
Colon - Sigmoid	-1.58539723933623	-0.0624316367862786	2.42192616905868	GI/Digestive
Small Intestine - Terminal Ileum	-4.98055316974974	-1.11064453332925	-4.45133487341973	GI/Digestive
Colon - Transverse	-4.18904233809825	-2.05528191816879	-4.37567395808516	GI/Digestive
Prostate	-4.41108014129895	0.899119511531939	-0.904496437216886	Reproductive
Testis	-3.95242020638656	2.34062528218781	-1.55106585576512	Reproductive
Nerve - Tibial	-6.11644145978786	3.76484747624574	1.66761981591297	Nerve
Skin - Sun Exposed (Lower leg)	-2.63507373177822	-2.07962827139802	-2.50000186222261	Skin/Fibro
Heart - Left Ventricle	9.38082243286863	-7.15841955110416	1.57905967003673	Heart
Brain - Cerebellum	1.92117154669654	8.22035651491291	-3.03571061850542	Brain
Cells - Cultured fibroblasts	-11.3392141313205	0.244638539748012	4.12877687584104	Other
Whole Blood	6.24436906089388	-8.30074709771551	0.164645015269545	Blood/Immune
Artery - Aorta	-5.53171517348129	0.441023250032338	4.55757872557223	Vascular
Cells - EBV-transformed lymphocytes	-5.56543638449078	0.902950524120106	1.44016214661538	Other
Pituitary	-3.08864793102434	1.31751903643263	-1.33186749868743	Endocrine
Brain - Frontal Cortex (BA9)	6.46554854524811	6.10580648271834	-0.126468651813731	Brain
Brain - Caudate (basal ganglia)	8.85059204030461	2.68130066811874	0.0874349840194865	Brain
Brain - Nucleus accumbens (basal ganglia)	8.34007505207525	3.33976010925849	0.0437213643221127	Brain
Brain - Putamen (basal ganglia)	10.3608213234219	0.916895635228625	0.0448061409470433	Brain
Brain - Hypothalamus	7.75344259061082	3.04290785652819	-0.574753998302564	Brain
Brain - Spinal cord (cervical c-1)	4.6626235583817	2.92316610298373	-0.433925857720716	Brain
Brain - Hippocampus	10.1673763859496	1.4159694492139	0.0486562373386329	Brain
Brain - Anterior cingulate cortex (BA24)	9.14293400714594	3.26419503405539	0.103078679297464	Brain
Ovary	-6.24850174052961	1.49250636697818	1.31764798595423	Reproductive
Brain - Cerebellar Hemisphere	1.6067873026926	8.31100795849743	-3.35607033520599	Brain
Liver	2.07888018139232	-7.66679529357536	0.576541450854883	GI/Digestive
Brain - Substantia nigra	9.02889808207105	0.865673410622269	-0.0754082722489647	Brain
Kidney - Cortex	3.62981824271554	-5.24366948144793	-2.40839195742244	Kidney
Brain - Amygdala	10.6061477611571	1.06321724057398	0.301239760803231	Brain
Bladder	-3.97783196453224	0.520688985979883	1.03142029491519	Other
